"USECODE","FUELTYPE","AREASQ"
"332","Oil",22000
"332","Oil",22000
"332","Oil",22000
"332","Gas",3532
"112","Electric",13020
"112","Electric",19680
"112","Oil",22816
"322","Gas",2118
"112","Electric",12582
"112","Electric",13840
"374","Gas",17240
"011","Oil",561
"011","Gas",672
"326","Gas",3350
"031","Oil",1940
"341","Gas",3335
"340","Gas",97311
"322","Gas",3360
"322","Gas",3360
"322","Gas",3360
"322","Gas",3360
"332","Gas",6600
"401","Gas",1500
"316","Oil",4000
"316","Oil",10000
"322","Oil",3325
"316","Oil",10000
"332","Gas",3480
"332","Electric",360
"400","Oil",15000
"322","Gas",3600
"400","Gas",16900
"332","Oil",10800
"400","Gas",59772
"322","Gas",4824
"340","Oil",9100
"931","NONE",33200
"010","Oil",1740
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"326","Gas",27084
"071","Gas",768
"102","Electric",804
"102","Electric",805
"102","Electric",805
"102","Electric",805
"102","Electric",807
"102","Electric",808
"102","Electric",800
"102","Electric",805
"102","Gas",726
"102","Gas",1216
"102","Gas",1216
"102","Gas",1262
"102","Gas",975
"102","Gas",1262
"102","Gas",1284
"102","Gas",1368
"102","Gas",1284
"102","Gas",1368
"102","Gas",1284
"102","Gas",1240
"102","Gas",910
"102","Gas",1448
"102","Gas",1414
"102","Gas",1448
"102","Gas",1448
"102","Gas",1448
"102","Gas",1436
"102","Gas",1448
"102","Gas",1448
"102","Gas",1448
"102","Gas",1436
"102","Gas",1436
"102","Gas",1448
"102","Gas",1448
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",890
"102","Gas",890
"102","Gas",890
"102","Gas",655
"102","Gas",683
"102","Gas",1185
"102","Gas",1006
"102","Gas",1006
"102","Gas",730
"102","Typical",1187
"102","Typical",1187
"102","Gas",1240
"102","NONE",1332
"102","NONE",1332
"102","Gas",800
"102","Gas",800
"102","Gas",850
"102","Gas",800
"102","Gas",800
"102","Gas",800
"102","Gas",800
"102","Gas",800
"102","Gas",850
"102","Gas",850
"102","Gas",850
"102","Gas",850
"102","Gas",850
"102","Gas",800
"102","Gas",850
"102","Gas",850
"102","Gas",850
"102","Gas",850
"102","Gas",914
"102","Gas",1436
"102","Gas",960
"102","Gas",916
"102","Gas",930
"102","Gas",931
"102","Gas",960
"102","Gas",960
"102","Gas",920
"102","Gas",916
"102","Gas",920
"102","Gas",920
"102","Gas",916
"102","Gas",1445
"102","Gas",1450
"102","Gas",1447
"102","Gas",927
"102","Gas",925
"102","Gas",934
"102","Gas",941
"102","Gas",940
"102","Gas",939
"102","Gas",928
"102","Gas",826
"102","Gas",960
"102","Gas",938
"102","Gas",938
"102","Gas",942
"102","Gas",939
"102","Gas",931
"102","Gas",931
"102","Gas",931
"102","Gas",931
"102","Gas",931
"102","Gas",960
"102","Gas",939
"102","Gas",1091
"102","Gas",1087
"102","Gas",1087
"102","Gas",1091
"102","Gas",960
"102","Gas",960
"102","Gas",920
"102","Gas",920
"102","Gas",726
"102","Gas",1456
"102","Gas",1456
"102","Gas",936
"102","Electric",936
"102","Gas",936
"102","Gas",936
"102","Electric",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
"102","Gas",936
