Town	Use code	Description	Stories	Stories_Desc	Style	Style Description	Living Area	Heat fuel	Fuel Description	Heat type	Type description
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	720	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	720	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	720	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	720	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	728	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	744	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	748	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	762	8	Wood	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	768	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	772	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	776	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	780	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	780	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	782	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	792	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	792	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	798	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	798	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	800	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	800	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	808	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	816	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	816	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	816	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	816	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	816	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	816	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	818	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	825	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	829	8	Wood	2	Convection
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	832	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	832	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	832	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	832	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	834	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	839	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	840	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	840	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	848	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	854	7	Propane	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	856	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	858	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	858	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	858	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	2	Oil	6	Steam
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	3	Gas	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	864	4	Electric	7	Radiant-Elec.
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	868	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	870	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	871	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	874	2	Oil	5	Hot Water
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	876	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	879	2	Oil	4	Forced Air-Duc
Holden	1010	Single Fam  MDL-01	1	1 Story	1	Ranch	880	2	Oil	4	Forced Air-Duc
